                ,Albany,Binghamton,Buffalo,Cold Spring,Farmingdale,Fire Island,Great Neck,Huntington,Ithaca,Lake Placid,Lexington,New Rochelle,New York City,Newburgh,Niagara Falls,Oyster Bay,Poughkeepsie,Riverhead,Rochester,Sag Harbor,Saratoga Springs,Schenectady,Skaneateles,Smithtown,Syracuse,Troy,Watkins Glen,White Plains,Woodbury,Yonkers
Albany          ,0     ,          ,       ,           ,           ,           ,          ,          ,      ,        113,     42.1,            ,             ,        ,             ,          ,            ,         ,         ,          ,            29.9,       14.6,           ,         ,        , 6.6,            ,            ,        ,       
Binghamton      ,      ,0         ,       ,           ,           ,           ,          ,          ,  38.2,           ,     80.2,            ,             ,        ,             ,          ,            ,         ,         ,          ,                ,           ,           ,         ,    66.8,    ,            ,            ,        ,       
Buffalo         ,      ,          ,0      ,           ,           ,           ,          ,          ,      ,           ,         ,            ,             ,        ,         15.8,          ,            ,         ,     66.5,          ,                ,           ,           ,         ,        ,    ,            ,            ,        ,       
Cold Spring     ,      ,          ,       ,0          ,           ,           ,          ,          ,      ,           ,         ,            ,             ,     6.2,             ,          ,            ,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,            ,     9.9,       
Farmingdale     ,      ,          ,       ,           ,0          ,       16.1,          ,          ,      ,           ,         ,            ,         29.4,        ,             ,          ,            ,         ,         ,          ,                ,           ,           ,     15.4,        ,    ,            ,            ,        ,       
Fire Island     ,      ,          ,       ,           ,       16.1,0          ,          ,          ,      ,           ,         ,            ,             ,        ,             ,          ,            ,     31.7,         ,          ,                ,           ,           ,     14.5,        ,    ,            ,            ,        ,       
Great Neck      ,      ,          ,       ,           ,           ,           ,0         ,          ,      ,           ,         ,            ,         15.4,        ,             ,      11.9,            ,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,        16.1,        ,   12.4
Huntington      ,      ,          ,       ,           ,           ,           ,          ,0         ,      ,           ,         ,            ,             ,        ,             ,       5.4,            ,         ,         ,          ,                ,           ,           ,     11.9,        ,    ,            ,            ,        ,       
Ithaca          ,      ,      38.2,       ,           ,           ,           ,          ,          ,0     ,           ,         ,            ,             ,        ,             ,          ,            ,         ,     74.9,          ,                ,           ,       34.9,         ,    45.5,    ,        19.4,            ,        ,       
Lake Placid     ,   113,          ,       ,           ,           ,           ,          ,          ,      ,0          ,         ,            ,             ,        ,             ,          ,            ,         ,         ,          ,            83.2,           ,           ,         ,        ,    ,            ,            ,        ,       
Lexington       ,  42.1,      80.2,       ,           ,           ,           ,          ,          ,      ,           ,0        ,            ,             ,        ,             ,          ,        43.5,         ,         ,          ,                ,       45.2,           ,         ,        ,    ,            ,            ,        ,       
New Rochelle    ,      ,          ,       ,           ,           ,           ,          ,          ,      ,           ,         ,0           ,           18,        ,             ,          ,            ,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,         8.5,        ,    6.3
New York City   ,      ,          ,       ,           ,       29.4,           ,      15.4,          ,      ,           ,         ,          18,0            ,        ,             ,          ,            ,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,            ,        ,   16.2
Newburgh        ,      ,          ,       ,        6.2,           ,           ,          ,          ,      ,           ,         ,            ,             ,0       ,             ,          ,        14.7,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,        34.7,    12.1,       
Niagara Falls   ,      ,          ,   15.8,           ,           ,           ,          ,          ,      ,           ,         ,            ,             ,        ,0            ,          ,            ,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,            ,        ,       
Oyster Bay      ,      ,          ,       ,           ,           ,           ,      11.9,       5.4,      ,           ,         ,            ,             ,        ,             ,0         ,            ,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,            ,        ,       
Poughkeepsie    ,      ,          ,       ,           ,           ,           ,          ,          ,      ,           ,     43.5,            ,             ,    14.7,             ,          ,0           ,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,        46.8,        ,       
Riverhead       ,      ,          ,       ,           ,           ,       31.7,          ,          ,      ,           ,         ,            ,             ,        ,             ,          ,            ,0        ,         ,      20.2,                ,           ,           ,     28.2,        ,    ,            ,            ,        ,       
Rochester       ,      ,          ,   66.5,           ,           ,           ,          ,          ,  74.9,           ,         ,            ,             ,        ,             ,          ,            ,         ,0        ,          ,                ,           ,       61.6,         ,    74.3,    ,        65.5,            ,        ,       
Sag Harbor      ,      ,          ,       ,           ,           ,           ,          ,          ,      ,           ,         ,            ,             ,        ,             ,          ,            ,     20.2,         ,0         ,                ,           ,           ,         ,        ,    ,            ,            ,        ,       
Saratoga Springs,  29.9,          ,       ,           ,           ,           ,          ,          ,      ,       83.2,         ,            ,             ,        ,             ,          ,            ,         ,         ,          ,0               ,       20.3,           ,         ,        ,24.7,            ,            ,        ,       
Schenectady     ,  14.6,          ,       ,           ,           ,           ,          ,          ,      ,           ,     45.2,            ,             ,        ,             ,          ,            ,         ,         ,          ,            20.3,0          ,           ,         ,   112.8,  14,            ,            ,        ,       
Skaneateles     ,      ,          ,       ,           ,           ,           ,          ,          ,  34.9,           ,         ,            ,             ,        ,             ,          ,            ,         ,     61.6,          ,                ,           ,0          ,         ,    15.8,    ,        45.1,            ,        ,       
Smithtown       ,      ,          ,       ,           ,       15.4,       14.5,          ,      11.9,      ,           ,         ,            ,             ,        ,             ,          ,            ,     28.2,         ,          ,                ,           ,           ,0        ,        ,    ,            ,            ,        ,       
Syracuse        ,      ,      66.8,       ,           ,           ,           ,          ,          ,  45.5,           ,         ,            ,             ,        ,             ,          ,            ,         ,     74.3,          ,                ,      112.8,       15.8,         ,0       ,    ,            ,            ,        ,       
Troy            ,   6.6,          ,       ,           ,           ,           ,          ,          ,      ,           ,         ,            ,             ,        ,             ,          ,            ,         ,         ,          ,            24.7,         14,           ,         ,        ,0   ,            ,            ,        ,       
Watkins Glen    ,      ,          ,       ,           ,           ,           ,          ,          ,  19.4,           ,         ,            ,             ,        ,             ,          ,            ,         ,     65.5,          ,                ,           ,       45.1,         ,        ,    ,0           ,            ,        ,       
White Plains    ,      ,          ,       ,           ,           ,           ,      16.1,          ,      ,           ,         ,         8.5,             ,    34.7,             ,          ,        46.8,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,0           ,        ,    9.9
Woodbury        ,      ,          ,       ,        9.9,           ,           ,          ,          ,      ,           ,         ,            ,             ,    12.1,             ,          ,            ,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,            ,0       ,       
Yonkers         ,      ,          ,       ,           ,           ,           ,      12.4,          ,      ,           ,         ,         6.3,         16.2,        ,             ,          ,            ,         ,         ,          ,                ,           ,           ,         ,        ,    ,            ,         9.9,        ,0      
